Date,Time,Participating,Non Participating,Difference
2016-04-05,17:00:00,25.00,33.33,8.33
2016-04-05,17:15:00,33.33,58.33,25.00
2016-04-05,17:30:00,33.33,75.00,41.67
2016-04-05,17:45:00,41.67,50.00,8.33
2016-04-05,18:00:00,41.67,50.00,8.33
2016-04-05,18:15:00,41.67,50.00,8.33
2016-04-05,18:30:00,33.33,33.33,0.00
2016-04-05,18:45:00,50.00,41.67,-8.33
2016-04-05,19:00:00,25.00,50.00,25.00
2016-04-05,19:15:00,41.67,41.67,0.00
2016-04-05,19:30:00,25.00,25.00,0.00
2016-04-05,19:45:00,25.00,25.00,0.00
