Date,Time,Average Duty Cycle
2016-04-05,17:00:00,25.0
2016-04-05,17:05:00,25.0
2016-04-05,17:10:00,25.0
2016-04-05,17:15:00,25.0
2016-04-05,17:20:00,25.0
2016-04-05,17:25:00,50.0
2016-04-05,17:30:00,25.0
2016-04-05,17:35:00,50.0
2016-04-05,17:40:00,25.0
2016-04-05,17:45:00,50.0
2016-04-05,17:50:00,25.0
2016-04-05,17:55:00,50.0
2016-04-05,18:00:00,50.0
2016-04-05,18:05:00,25.0
2016-04-05,18:10:00,50.0
2016-04-05,18:15:00,50.0
2016-04-05,18:20:00,50.0
2016-04-05,18:25:00,25.0
2016-04-05,18:30:00,50.0
2016-04-05,18:35:00,25.0
2016-04-05,18:40:00,25.0
2016-04-05,18:45:00,50.0
2016-04-05,18:50:00,50.0
2016-04-05,18:55:00,50.0
2016-04-05,19:00:00,25.0
2016-04-05,19:05:00,25.0
2016-04-05,19:10:00,25.0
2016-04-05,19:15:00,50.0
2016-04-05,19:20:00,50.0
2016-04-05,19:25:00,25.0
2016-04-05,19:30:00,25.0
2016-04-05,19:35:00,25.0
2016-04-05,19:40:00,25.0
2016-04-05,19:45:00,25.0
2016-04-05,19:50:00,25.0
