Date,Time,Average Temperature,Heat Temperature,Cool Temperature
2016-04-05,17:00:00,70.5,66.0,81.0
2016-04-05,17:05:00,70.5,66.0,81.0
2016-04-05,17:10:00,70.4,66.0,81.0
2016-04-05,17:15:00,70.4,66.0,81.0
2016-04-05,17:20:00,70.4,66.0,81.0
2016-04-05,17:25:00,70.5,66.0,81.0
2016-04-05,17:30:00,70.7,66.0,81.0
2016-04-05,17:35:00,70.8,66.0,81.0
2016-04-05,17:40:00,70.7,66.0,81.0
2016-04-05,17:45:00,70.7,66.0,81.0
2016-04-05,17:50:00,70.6,66.0,81.0
2016-04-05,17:55:00,70.6,66.0,81.0
2016-04-05,18:00:00,70.8,66.0,81.0
2016-04-05,18:05:00,71.0,66.0,81.0
2016-04-05,18:10:00,71.2,66.0,81.0
2016-04-05,18:15:00,71.3,66.0,81.0
2016-04-05,18:20:00,71.4,66.0,81.0
2016-04-05,18:25:00,71.5,66.4,80.7
2016-04-05,18:30:00,71.4,70.0,78.0
2016-04-05,18:35:00,71.3,70.0,78.0
2016-04-05,18:40:00,71.2,70.0,78.0
2016-04-05,18:45:00,71.1,70.0,78.0
2016-04-05,18:50:00,71.0,70.0,78.0
2016-04-05,18:55:00,70.9,70.0,78.0
2016-04-05,19:00:00,70.7,70.0,78.0
2016-04-05,19:05:00,70.6,70.0,78.0
2016-04-05,19:10:00,70.4,70.0,78.0
2016-04-05,19:15:00,70.3,70.0,78.0
2016-04-05,19:20:00,70.3,70.0,78.0
2016-04-05,19:25:00,70.3,70.0,78.0
2016-04-05,19:30:00,70.3,70.0,78.0
2016-04-05,19:35:00,70.4,70.0,78.0
2016-04-05,19:40:00,70.3,70.0,78.0
2016-04-05,19:45:00,70.4,70.0,78.0
2016-04-05,19:50:00,70.4,70.0,78.0
