Thermostat,kWFactor
319231097740,2.87
319244500404,2.87
319252423618,2.87
319258821539,2.87
319260161359,2.87
319268816075,2.87
319273588217,2.87
319273941746,2.87
319280329784,2.87
319285826570,2.87
319286181124,2.87
319290681151,2.87
319294826723,2.87
314785466129,2.87
314788613717,2.87
314794647948,2.87
315613549180,2.87
315614534707,2.87
315615341944,2.87
315623265463,2.87
315632176705,2.87
315633523258,2.87
315635141683,2.87
315641535896,2.87
315642893401,2.87
315649826147,2.87
315661516570,2.87
315668368325,2.87
315677096453,2.87
316500764464,2.87
316504811629,2.87
316505995571,2.87
316516885869,2.87
316524701395,2.87
316528492448,2.87
316528671944,2.87
316531363447,2.87
316533071809,2.87
316534248569,2.87
316534514527,2.87
316534974987,2.87
316538843302,2.87
316541803320,2.87
316549641197,2.87
316567554518,2.87
316577454149,2.87
316591674941,2.87
316598600369,2.87
317409861070,2.87
317413455355,2.87
317415432718,2.87
317422632916,2.87
317425069982,2.87
317431180918,2.87
317432994518,2.87
317436042222,2.87
317437581052,2.87
317439389991,2.87
317439741197,2.87
317445138758,2.87
317447481151,2.87
317470514518,2.87
317480235094,2.87
310105714996,2.87
310109591926,2.87
310124167614,2.87
310133344743,2.87
310134792574,2.87
310154681917,2.87
310157381089,2.87
310162783528,2.87
310169809379,2.87
310170972259,2.87
310176820972,2.87
310181314068,2.87
310181959955,2.87
310193564581,2.87
310199968983,2.87
311000857155,2.87
311017056921,2.87
311017057623,2.87
311018956354,2.87
311020560503,2.87
311021737146,2.87
311029669298,2.87
311039011340,2.87
311042168145,2.87
311050171386,2.87
311051524482,2.87
311055676994,2.87
311067911467,2.87
311068452574,2.87
311075016525,2.87
311079163249,2.87
311092207641,2.87
311094460396,2.87
311096717560,2.87
312901939081,2.87
312902100738,2.87
312908233780,2.87
312911831106,2.87
312916065418,2.87
312927596859,2.87
312942895472,2.87
312977455805,2.87
312993924077,2.87
312995638280,2.87
313808693627,2.87
313809047317,2.87
313809134077,2.87
313811923951,2.87
313823809883,2.87
317484920233,2.87
317489243753,2.87
317492208398,2.87
317496089847,2.87
317497075698,2.87
317498153096,2.87
318316883915,2.87
318324074356,2.87
318328307308,2.87
318330378307,2.87
318333437182,2.87
318340458325,2.87
318342342286,2.87
318343888659,2.87
318356485418,2.87
318357470369,2.87
318357923429,2.87
318372047308,2.87
318384650756,2.87
318384740387,2.87
319208787461,2.87
319227046912,2.87
319227310512,2.87
319229390891,2.87
319230281593,2.87
313827592961,2.87
313830553302,2.87
313836319027,2.87
313860430936,2.87
313874481593,2.87
313875380332,2.87
313876192628,2.87
313888980215,2.87
313889517605,2.87
313893102367,2.87
314704362277,2.87
314709138479,2.87
314713453465,2.87
314729114202,2.87
314731901241,2.87
314732539054,2.87
314734600783,2.87
314738931269,2.87
314743605094,2.87
314749197308,2.87
314754315382,2.87
314757473294,2.87
314763689423,2.87
314764499388,2.87
314774752349,2.87
999,2.87
